City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kavieng,PG,81.86,light rain,-2.5744,150.7967,Nusa Island Retreat
5,Mamedkala,RU,83.46,clear sky,42.1677,48.1199,Igry Frifayer
12,Butaritari,KI,81.77,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,Kropotkin,RU,75.27,light rain,45.4375,40.5756,Hotel Europe Kropotkin
15,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
18,Kijang,KR,82.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
19,Port Elizabeth,ZA,76.1,clear sky,-33.918,25.5701,39 On Nile Guest House
20,Mangrol,IN,80.94,broken clouds,21.1167,70.1167,Hotel The Royal Honours
21,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
23,Tuy Hoa,VN,79.52,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
27,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Huilong,CN,81.93,moderate rain,31.8111,121.655,Hilton Garden Inn Qidong
33,Khipro,PK,87.58,broken clouds,25.8285,69.3772,Wali M Dars Hottle
37,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
42,Alghero,IT,87.89,clear sky,40.5589,8.3181,Smy Carlos V Alghero
43,Hithadhoo,MV,76.91,overcast clouds,-0.6,73.0833,Scoop Guest House
50,Trincomalee,LK,81.3,overcast clouds,8.5711,81.2335,Welcombe Hotel
51,Tura,IN,76.73,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
54,Voyinka,UA,75.16,light rain,45.8699,33.9914,Hotel RIKMAN Continental
55,Langsa,ID,75.7,broken clouds,4.4683,97.9683,OYO 3328 Hotel Mori
60,Kundla,IN,79.3,overcast clouds,21.3333,71.3,Gaytri Society
61,Hambantota,LK,80.65,overcast clouds,6.1241,81.1185,Bungalow 63
65,Pokhara,NP,75.97,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
67,Eyl,SO,78.17,broken clouds,7.9803,49.8164,Amiin Hotel
69,Ponta Do Sol,PT,78.12,scattered clouds,32.6667,-17.1,Hotel do Campo
71,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
75,Bulalacao,PH,79.68,overcast clouds,12.3254,121.3435,By The Sea Hotels
76,Korla,CN,78.64,scattered clouds,41.7597,86.1469,Gulisitan Hotel
78,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Avera,US,89.65,clear sky,33.194,-82.5271,Hotel RIKMAN Continental
83,Torbay,CA,78.76,overcast clouds,47.6666,-52.7314,Gallows Cove
88,Atuona,PF,77.95,few clouds,-9.8,-139.0333,Villa Enata
101,Marica,BR,89.55,overcast clouds,-22.9194,-42.8186,Marica Hills
104,Guerrero Negro,MX,77.9,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
107,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
110,Peniche,PT,75.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
118,Tirano,IT,86.43,few clouds,46.2154,10.1679,Hotel Corona Tirano
120,Lom Sak,TH,77.22,broken clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
127,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Central
128,Bereda,ES,88.41,light rain,43.2686,-7.5406,Pazo de Verdes
129,Praia Da Vitoria,PT,79.05,broken clouds,38.7333,-27.0667,Hotel Branco I
130,Donskoye,RU,82.53,scattered clouds,45.4552,41.9741,Hotel RIKMAN Continental
138,Hefei,CN,78.82,broken clouds,31.8639,117.2808,Jinhuan Hotel
143,Jamestown,US,78.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
144,Changde,CN,78.46,overcast clouds,29.0464,111.6783,Kangshida Hotel
147,Fantanele,RO,77.52,clear sky,46.1167,21.4,Wow Clean Detailing
150,Dingle,PH,75.09,light rain,10.9995,122.6711,SEGAYA PROPERTY
