City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,73.58,33,2,13.98,clear sky
1,East London,ZA,-33.0153,27.9116,67.14,52,0,5.75,clear sky
2,Rikitea,PF,-23.1203,-134.9692,74.35,78,100,17.54,overcast clouds
3,Kavieng,PG,-2.5744,150.7967,81.86,80,71,14.7,light rain
4,Taoudenni,ML,22.6783,-3.9836,112.41,9,70,14.45,broken clouds
5,Mamedkala,RU,42.1677,48.1199,83.46,49,0,5.35,clear sky
6,Killybegs,IE,54.6333,-8.45,69.51,76,100,6.6,overcast clouds
7,Pingliang,CN,35.5392,106.6861,70.21,44,87,5.17,overcast clouds
8,Tambacounda,SN,13.7539,-13.7586,95.05,49,75,9.22,broken clouds
9,Tessalit,ML,20.1986,1.0114,92.37,31,65,16.6,light rain
10,Muravlenko,RU,63.7898,74.523,64.35,50,99,8.97,overcast clouds
11,Castro,BR,-24.7911,-50.0119,67.53,68,100,2.04,overcast clouds
12,Butaritari,KI,3.0707,172.7902,81.77,74,99,10.4,overcast clouds
13,Kropotkin,RU,45.4375,40.5756,75.27,61,32,3.53,light rain
14,San Quintin,MX,30.4833,-115.95,74.46,67,17,8.68,few clouds
15,Bathsheba,BB,13.2167,-59.5167,88.41,78,20,25.32,few clouds
16,Ushuaia,AR,-54.8,-68.3,42.46,52,40,5.75,scattered clouds
17,Luderitz,NA,-26.6481,15.1594,67.75,41,9,5.26,clear sky
18,Kijang,KR,35.2442,129.2139,82.13,68,100,3.42,overcast clouds
19,Port Elizabeth,ZA,-33.918,25.5701,76.1,52,0,2.3,clear sky
20,Mangrol,IN,21.1167,70.1167,80.94,86,79,18.45,broken clouds
21,Hilo,US,19.7297,-155.09,87.28,89,100,5.75,overcast clouds
22,Port Blair,IN,11.6667,92.75,78.84,94,75,2.3,mist
23,Tuy Hoa,VN,13.0833,109.3,79.52,84,100,7.45,overcast clouds
24,Iskateley,RU,67.6803,53.1512,62.29,81,100,7.23,overcast clouds
25,Avarua,CK,-21.2078,-159.775,69.85,88,75,4.61,light rain
26,Qaanaaq,GL,77.484,-69.3632,46.33,58,67,0.72,broken clouds
27,Kapaa,US,22.0752,-159.319,79.12,81,100,13.8,overcast clouds
28,Gisborne,NZ,-38.6533,178.0042,45.21,85,94,10.56,overcast clouds
29,Huilong,CN,31.8111,121.655,81.93,94,100,9.64,moderate rain
30,Tazovskiy,RU,67.4667,78.7,57.76,66,99,0.09,overcast clouds
31,Ancud,CL,-41.8697,-73.8203,45.23,85,71,17.09,moderate rain
32,Albany,US,42.6001,-73.9662,90.03,45,37,1.99,scattered clouds
33,Khipro,PK,25.8285,69.3772,87.58,71,77,11.45,broken clouds
34,Lebu,CL,-37.6167,-73.65,51.31,84,98,12.88,overcast clouds
35,Cherskiy,RU,68.75,161.3,35.42,63,71,13.13,broken clouds
36,Bowen,AU,-20.0167,148.2333,60.94,89,0,8.08,clear sky
37,Thompson,CA,55.7435,-97.8558,77.16,61,40,4.61,scattered clouds
38,Jos,NG,9.9167,8.9,69.1,96,100,3.11,light rain
39,Oxapampa,PE,-10.5775,-75.4017,65.34,87,86,2.04,overcast clouds
40,Hermanus,ZA,-34.4187,19.2345,60.8,81,0,8.52,clear sky
41,Yellowknife,CA,62.456,-114.3525,63.12,82,75,23.02,broken clouds
